x,sigma_xx,sigma_yy,sigma_zz
0.015625,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.046875,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.078125,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.109375,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.140625,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.171875,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.203125,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.234375,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.265625,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.296875,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.328125,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.359375,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.390625,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.421875,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.453125,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.484375,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.515625,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.546875,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.578125,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.609375,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.640625,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.671875,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.703125,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.734375,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.765625,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.796875,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.828125,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.859375,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.890625,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.921875,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.953125,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
0.984375,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.015625,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.046875,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.078125,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.109375,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.140625,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.171875,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.203125,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.234375,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.2578125,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.2734375,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.2890625,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.3046875,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.3203125,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.3359375,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.3515625,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.3671875,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.3828125,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.3984375,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.4140625,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.4296875,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.4453125,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.4609375,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.4765625,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.4921875,-0.25310979035467396,-0.21985378792405041,-0.12703642173000232
1.5078125,-0.008610822983788612,0.2874682583397284,0.3469346272337696
1.5234375,-0.02366192424947149,0.2368732692584552,0.2756061800258289
1.5390625,-0.03189662540915962,0.19918646585494632,0.22462014164636535
1.5546875,-0.03625874927203473,0.17006663259795662,0.1866598629266727
1.5703125,-0.038314845380680786,0.14694440845304804,0.15750645207289984
1.5859375,-0.03895573901608779,0.1281936992747577,0.13456294928427545
1.6015625,-0.03871395319303874,0.11273084186213522,0.11614680572563794
1.6171875,-0.03792017662228088,0.09980353732070697,0.10112210888663876
1.6328125,-0.03678579451303274,0.08887198614185453,0.08869564899761599
1.6484375,-0.035448873321001446,0.0795381927187457,0.0782976975860906
1.6640625,-0.034000967337971595,0.07150197520181156,0.06950916926379933
1.6796875,-0.032503347120730414,0.06453253283923192,0.06201542992640344
1.6953125,-0.030997142407686733,0.05844946479973486,0.05557605143495867
1.7109375,-0.029509855789193608,0.05310974123341273,0.050004451329615326
1.7265625,-0.028059643704617394,0.04839854147212156,0.04515385078470949
1.7421875,-0.026658186336908102,0.04422267401472889,0.04090738112581612
1.765625,-0.02460484639246842,0.038756477683912445,0.03541017626415552
1.796875,-0.022169954181394304,0.03279858651185716,0.02954829730766345
1.828125,-0.01997703751537886,0.027963294973092623,0.024876525826231073
1.859375,-0.018015426318899318,0.02399468538577465,0.02110321591386519
1.890625,-0.016267393061449333,0.020705338433208827,0.018020128739389775
1.921875,-0.014712718244232441,0.017955373405759003,0.015475371079313537
1.953125,-0.013331045261811511,0.01563866646340878,0.013356082513626983
1.984375,-0.012103052208901776,0.013673541901406643,0.011577036399704279
2.03125,-0.010471713083019132,0.0112195297741924,0.009375453531436104
2.09375,-0.008746523822388535,0.008736783410925923,0.007187097284600519
2.15625,-0.007368612956533881,0.006864417595106861,0.005559586619709357
2.21875,-0.006260925414504831,0.005430234617492148,0.004327943294056368
2.28125,-0.005364188551858514,0.004317127382841308,0.00338222656115241
2.34375,-0.004632926572732325,0.0034434597300242458,0.0026471243129388704
2.40625,-0.004032203723592067,0.0027510933777637353,0.0020698059976063604
2.46875,-0.0035350900895019465,0.0021978449916047124,0.0016124379719723795
2.5625,-0.002923703442663016,0.0015523823460173913,0.001083255403805243
2.6875,-0.002338567012352133,0.0009660461959008522,0.000611015865197058
2.8125,-0.0019117040924538696,0.0005725951677842946,0.000299854117853652
2.9375,-0.0015924535061130635,0.00030535159141507624,9.29478165837084e-05
3.125,-0.0012353058401978687,4.809028788561715e-05,-0.00010031755545906416
3.375,-0.0009336767078817614,-0.0001225006588796255,-0.00021889766900069486
3.625,-0.0007320443924593258,-0.00019843450750044314,-0.00026334717320835595
3.875,-0.0005897936254188076,-0.00022676453183587922,-0.0002718284034901425
4.25,-0.0004373701013694135,-0.0002281971638559864,-0.00025515649946424875
4.75,-0.0003145410850118938,-0.0002014890545680128,-0.0002164175855305019
5.25,-0.0002350088241027648,-0.00016949173021990364,-0.00017831166686260648
5.75,-0.00018063754667752195,-0.00014049804363792262,-0.0001459857839754139
6.25,-0.00014198554654791933,-0.00011625442414730719,-0.00011981733289330886
6.75,-0.00011367170609419143,-9.65465589080494e-05,-9.894171854056032e-05
7.25,-9.242585853550996e-05,-8.066166655496657e-05,-8.232100514722953e-05
7.75,-7.616067738772423e-05,-6.78578481777587e-05,-6.903725261412601e-05
